country,advertiser_name,ad_campaign_id,dim_campaign_id,campaign_name,ad_type,campaign_start,campaign_end,optimization_type,impressions,clicks,spend,dpv_total,order_count_total,units_sold_total,product_sales_$_total
US,Redfox - 3MOAX (3MOAX),2465284001,22251215,Redfox - SSDA - B071KT5M62 - 7YUAFLEOASWQUY3LXWKR7DKT4I - MOBILEADS - Guess the logo Campaign,MOBILE_AD_NETWORK,4/27/2017 7:00,5/11/2017 7:00,CTR,207444,276,43.41,241,5,5,0
US,Sun Products - US,2992071001,475796909,Snuggle Q4 2017 Tablet_New-AAP-Purchase Link - in 10-23 to 12-3,AAP,10/23/2017 4:00,12/4/2017 4:59,PURCHASE,10839272,1691,33868.1525,12328,2359,2906,17181.39
US,Redfox - RUC04 (RUC04),3004569001,483336904,Redfox - SSDA - B01N3UCLRZ - 6XE6VBNN6ZPFUMJGZ2RBOTFLD4 - MOBILEADS - Best Bet CasinoTM - Cards/Casino,MOBILE_AD_NETWORK,10/24/2017 7:00,11/18/2017 8:00,CTR,836952,2590,135.22,2826,12,12,0
US,Stride Rite - US,2557841001,53311991,Stride Rite - US_Stride Rite - BTS - 2017_AAP_7/1 - 8/23,AAP,7/1/2017 4:00,10/1/2017 3:59,PURCHASE,14090108,3166,35641.6767,53156,3305,3311,114623.58
US,Redfox - THEFF (THEFF),2600054001,71929085,Redfox - SSDA - B018WUCOY4 - 6XXULATKQMDVMTRBU3ZVBFRSAM-017 - MOBILEADS - Classic Slot Galaxy Free Vega...,MOBILE_AD_NETWORK,6/28/2017 7:00,7/12/2017 7:00,CTR,295718,609,40.71,722,12,12,0
US,"Scopely, Inc - US",2841024001,371674227,App_DL - Tier2 - Adjust - Scopely Inc - Wheel of Fortune - Q3 2017,AAP_MOBILE,9/13/2017 4:00,11/1/2017 3:59,APP_DL,3195595,68077,8559.2746,0,0,0,0
US,Under Armour,2447013001,20782739,Under Armour - US_Under Armour - Footwear | Q2 2017_AAP_5/04 - 6/30 - H2 2017,AAP_MOBILE,5/4/2017 4:00,1/1/2018 4:59,PURCHASE,15782142,25730,43229.9255,43420,1782,1786,89742.9
US,Redfox - OMGBS (OMGBS),2297824001,11559227,Redfox - SSDA - B019FW1MGY - NI7CNHM36IPOVU7YYU4CKXFTA4-019 - MOBILEADS - Lost for Words Campaign,MOBILE_AD_NETWORK,1/17/2017 7:00,1/31/2017 7:00,CTR,716230,1916,92.9,2045,14,14,0
US,Church & Dwight - US,2343001001,13665225,Church & Dwight - US_Church & Dwight Pre-Seed 2017 Campaign_AAP_02/27_03/31,AAP,2/27/2017 5:00,4/1/2017 3:59,PURCHASE,8532741,2798,17037.6994,3095,67,71,1443.45
US,Stanley Black and Decker,2684895001,246209068,Stanley Black and Decker_PC Cordless Q3-17_AAP_08/09 - 10/15,AAP_MOBILE,8/9/2017 4:00,10/16/2017 3:59,PURCHASE,4144057,6449,10798.1055,4667,115,117,15839.22
