asin,rating
B0012HEVJG,4.3
B000LKTZNM,4.3
B0012HEVPU,4.3
B000LKXFMO,4.1
B0057UUHGU,4.7
B00K3EM2AE,4.7
B008IYDZQ6,4.2
B00EFRVL34,4.1
B008IYDYXU,4.3
B011AN48F8,4.5
B01HETFQKS,4.3
B01JHMDH56,4.2
B011ANM6DO,4.5
B00N32I2Q6,4.5
B01LWINX7T,4.2
B00HZYC69W,4.4
B00N956W1O,4.5
B00YOZPW8C,4.4
B013SK8Y2O,4.6
B00DW7IWQ2,3.2
B00AZ8BPVK,4.1
B01N1Q2ETO,4.1
B01N4FEPKH,4.1
B01N6IACJ2,4.1
B01KZHP44Y,3.7
B011AO4H30,4.5
B011IH6D5E,3.2
B011IH6EMQ,4.1
B01HETFQKI,4.3
B00AW3IXZO,4.6
B00AWJ1SXC,4.5
B00AWI76KW,2.7
B009ZCR994,4.4
B00ENXM5BW,4.4
B00LXUCEK0,4.4
B0083TTBWS,4.4
B00EQV4Y9C,4.4
B01K3FJP84,4.4
B01K3FJVP6,4.5
B01K3FJT7Q,3.5
B001F1UDKA,4
B001CD1HUQ,4
B003YKP1Y8,4
B001E8ILEY,4
B003YKSQ1S,4
B01MRH32L0,4.9
B01MRH3A0S,4.9
B01MRH2QPD,4.9
B01LTHNHL6,4.9
B01MXHT687,4.9
B003NV4O00,4.4
B000E148JY,4.4
B000E18CVE,3.2
B01B5Q8TX2,3.6
B01B5Q8WV6,3.8
B000E8ZJHC,4.1
B000E93EQO,4.1
B000E8ZJH2,4.1
B00B7YK45Y,3.2
B00CVVKCJK,4.1
B000E95HPA,4.1
B00JVOGSHA,4.1
B002TG3QP4,4
B000E95HP0,4.1
B01JLPJRX0,4.3
B01JLPJRU8,4.4
B00K2RJAR0,4.4
B002DYIZFI,4.3
B002DYIZT4,4.5
B00QQA0BHU,4.3
B000QSTBNS,4.5
B000GIQSV6,4.3
B002DYJ0FM,4.3
B01N0IO5Y8,3.8
B01IR62HLI,3.8
B01IR62HL8,3.7
B01N45OVBJ,3.8
B01IR62KRY,3.8
B01JMOWAR0,3.8
B00T2U2JNK,4.2
B01CJNMMZG,3.8
B01FVVAUAW,3.8
B01M1DUV6V,4
B01CJNMNE6,3.8
B018NZJBT4,4
B018NZJFK4,4
B018NZJDUG,4
B018NZJCO8,4
B018NZJC70,4
B004X8J1ZK,4.6
B0026IDPKQ,4.6
B01JIRL0LI,3.8
B0026IDPJM,4.6
B01JIRL1H6,4.6
B00OMXW9Q4,4.6
B002WN2XI0,4.6
B004UH74DA,4.6
B00H58L9ZK,1
B00FZ0FQKY,2.4
B00EZKNYWC,4.3
B00FZ0FETC,4.2
B00HJ7P36I,4.2
B00F3I4CTE,4.2
B002T2M3YS,3.6
B0014BSMT0,3.9
B01DMT36V0,4.7
B00JJGN2NS,4.4
B00JJGN2JC,4.4
B00CSOHFXQ,4.3
B001TDL54M,4.3
B00KPWPGTS,4.3
B00NPNU3VA,4.3
B00YPBQB4Y,4.5
B00I69SW5C,4.5
B010CRN48K,4.4
B00J4YYFYA,4.8
B00U2VQZDS,4.6
B00013TQPQ,4.5
B01LTHKWEG,4.1
B003NSUBE6,5
B01HOHBW6M,3.3
034554143X,4.1
B01EE0CRKW,4
1524756474,4.1
B01LXG61Y2,4.6
B01M15OIPV,4.6
