ad_campaign_id,category
3241089001,Apps & Games
3241088001,Apps & Games
3238861001,"Clothing, Shoes & Jewelry"
3232133001,Apps & Games
3229639001,Software
3229568001,Electronics
3229566001,Electronics
3227232001,Apps & Games
3227229001,Apps & Games
3225669001,Video Games
3225519001,Video Games
3222972001,Apps & Games
3222969001,Apps & Games
3222967001,Apps & Games
3222960001,Apps & Games
3220673001,Apps & Games
3220671001,Apps & Games
3220669001,Apps & Games
3219418001,Apps & Games
3219412001,Apps & Games
3218372001,Apps & Games
3218368001,Apps & Games
3218347001,Apps & Games
3217898001,Apps & Games
3217896001,Apps & Games
3217895001,Apps & Games
3215264001,Apps & Games
3215263001,Apps & Games
3215262001,Apps & Games
3215261001,Apps & Games
3215260001,Apps & Games
3215256001,Apps & Games
3215252001,Apps & Games
3215251001,Apps & Games
3215250001,Apps & Games
3215249001,Apps & Games
3214862001,Video Games
3214862001,Movies & TV
3214046001,Apps & Games
3214045001,Apps & Games
3213369001,Cell Phones & Accessories
3213369001,Electronics
3210453001,Apps & Games
3209881001,Apps & Games
3207914001,Toys & Games
3207909001,Toys & Games
3207906001,Toys & Games
3207902001,Toys & Games
3207900001,Toys & Games
3207898001,Toys & Games
3207894001,Toys & Games
3207891001,Toys & Games
3207883001,Toys & Games
3207790001,Home & Kitchen
3207782001,Toys & Games
3207776001,Toys & Games
3207727001,Toys & Games
3207491001,Apps & Games
3207458001,Apps & Games
3207310001,Apps & Games
3206438001,Apps & Games
3205826001,Apps & Games
3205825001,Apps & Games
3205822001,Apps & Games
3205471001,Toys & Games
3204921001,Apps & Games
3204643001,Movies & TV
3204082001,Apps & Games
3203629001,Toys & Games
3202088001,Apps & Games
3202086001,Apps & Games
3200265001,Apps & Games
3198755001,Apps & Games
3198747001,Cell Phones & Accessories
3198747001,Office Products
3198500001,Cell Phones & Accessories
3198500001,Office Products
3198459001,Toys & Games
3198320001,"Clothing, Shoes & Jewelry"
3198320001,Home & Kitchen
3198320001,Movies & TV
3194767001,Apps & Games
3194763001,Apps & Games
3194319001,Apps & Games
3194198001,Apps & Games
3194197001,Apps & Games
3191721001,Apps & Games
3191720001,Apps & Games
3189112001,Apps & Games
3189109001,Apps & Games
3188298001,Movies & TV
3188168001,Software
3187338001,Apps & Games
3186320001,Pet Supplies
3185931001,Apps & Games
3185929001,Apps & Games
3185766001,Movies & TV
3181994001,Apps & Games
3181992001,Apps & Games
3181954001,Video Games
3181954001,Movies & TV
3181622001,Apps & Games
3181527001,Cell Phones & Accessories
3180991001,Electronics
3177925001,Apps & Games
3177198001,Movies & TV
3176943001,Gift Cards
3175712001,Apps & Games
3175708001,Apps & Games
3175700001,Apps & Games
3175286001,Apps & Games
3175276001,Apps & Games
3174316001,Apps & Games
3174313001,Apps & Games
3174311001,Apps & Games
3173570001,Apps & Games
3171669001,Apps & Games
3171662001,Apps & Games
3170626001,Toys & Games
3170620001,Toys & Games
3169271001,Apps & Games
3168689001,Apps & Games
3168685001,Apps & Games
3168679001,Apps & Games
3168678001,Apps & Games
3168676001,Apps & Games
3167948001,Apps & Games
3165265001,Apps & Games
3165263001,Apps & Games
3165262001,Apps & Games
3165261001,Apps & Games
3165258001,Apps & Games
3165257001,Apps & Games
3165252001,Apps & Games
3165251001,Apps & Games
3165246001,Apps & Games
3165198001,Apps & Games
3165196001,Apps & Games
3165195001,Apps & Games
3164212001,Home & Kitchen
3163720001,Grocery & Gourmet Food
3163277001,Pet Supplies
3160990001,Apps & Games
3160989001,Apps & Games
3160601001,Movies & TV
3160182001,Movies & TV
3160172001,Movies & TV
3160097001,Sports & Outdoors
3160028001,Health & Household
3160001001,Sports & Outdoors
3159480001,Health & Household
3158264001,Apps & Games
3158260001,Apps & Games
3156366001,Apps & Games
3155992001,Movies & TV
3155450001,Grocery & Gourmet Food
3154780001,Apps & Games
3154779001,Apps & Games
3154765001,Apps & Games
3154764001,Apps & Games
3154763001,Apps & Games
3154745001,Sports & Outdoors
3154670001,Sports & Outdoors
3154570001,Apps & Games
3154557001,Apps & Games
3154543001,Apps & Games
3154462001,Apps & Games
3154449001,Apps & Games
3154432001,Apps & Games
3151835001,Apps & Games
3151834001,Apps & Games
3151335001,Apps & Games
3151324001,Apps & Games
3151110001,Apps & Games
3150958001,Home & Kitchen
3150656001,Health & Household
3150647001,Health & Household
3150522001,"Patio, Lawn & Garden"
3150522001,Video Games
3150522001,"Clothing, Shoes & Jewelry"
3150522001,Toys & Games
3149743001,Apps & Games
3149730001,Apps & Games
3149725001,Apps & Games
3149709001,Apps & Games
3149387001,Grocery & Gourmet Food
3147230001,Apps & Games
3146766001,Video Games
3145517001,Apps & Games
3144662001,Toys & Games
3144590001,Toys & Games
3144586001,Toys & Games
3144582001,Toys & Games
3143074001,Apps & Games
3142406001,Apps & Games
3140837001,Apps & Games
3140836001,Apps & Games
3140835001,Apps & Games
3140833001,Apps & Games
3140479001,Apps & Games
3140440001,Apps & Games
3140060001,Apps & Games
3138702001,Apps & Games
3138701001,Apps & Games
3137888001,Apps & Games
3137828001,Apps & Games
3137824001,Apps & Games
3134465001,Apps & Games
3134463001,Apps & Games
3133419001,Apps & Games
3133417001,Apps & Games
3132655001,Apps & Games
3132653001,Apps & Games
3132651001,Apps & Games
3130440001,Apps & Games
3130339001,Apps & Games
3130159001,Video Games
3129475001,Home & Kitchen
3129001001,"Clothing, Shoes & Jewelry"
3128179001,"Patio, Lawn & Garden"
3127969001,Electronics
3127850001,Health & Household
3127806001,Health & Household
3127590001,Sports & Outdoors
3127526001,Video Games
3127437001,Sports & Outdoors
3126984001,Sports & Outdoors
3126761001,Sports & Outdoors
3124257001,Movies & TV
3123717001,Apps & Games
3123709001,Apps & Games
3123612001,Health & Household
3123142001,Toys & Games
3123128001,Toys & Games
3123110001,Toys & Games
3123096001,Toys & Games
3123076001,Toys & Games
3122931001,Tools & Home Improvement
3122872001,Toys & Games
3122844001,Home & Kitchen
3122803001,Office Products
3122124001,Health & Household
3121972001,Pet Supplies
3121928001,Tools & Home Improvement
3121919001,Pet Supplies
3121904001,Pet Supplies
3121878001,Apps & Games
3121862001,Apps & Games
3121819001,Electronics
3121665001,Automotive
3121665001,Home & Kitchen
3121358001,Sports & Outdoors
3121252001,Home & Kitchen
3121039001,"Clothing, Shoes & Jewelry"
3120866001,Health & Household
3120448001,"Clothing, Shoes & Jewelry"
3119527001,Apps & Games
3119524001,Apps & Games
3119500001,Apps & Games
3117972001,Toys & Games
3117970001,Toys & Games
3117934001,Apps & Games
3117933001,Apps & Games
3117472001,Toys & Games
3117375001,Beauty & Personal Care
3117362001,Beauty & Personal Care
3117278001,Video Games
3117173001,Health & Household
3116673001,Beauty & Personal Care
3116155001,Books
3116155001,CDs & Vinyl
3116155001,Sports & Outdoors
3116155001,Kindle Store
3115956001,"Clothing, Shoes & Jewelry"
3115724001,Video Games
3115640001,Toys & Games
3114912001,"Clothing, Shoes & Jewelry"
3114097001,Health & Household
3112358001,Apps & Games
3112019001,Apps & Games
3111441001,Apps & Games
3111434001,Apps & Games
3111432001,Apps & Games
3109735001,Apps & Games
3108563001,Apps & Games
3108556001,Apps & Games
3107123001,Apps & Games
3107119001,Apps & Games
3107118001,Apps & Games
3106308001,Electronics
3106308001,Cell Phones & Accessories
3106117001,Video Games
3106106001,Toys & Games
3106105001,Toys & Games
3106094001,Toys & Games
3106089001,Toys & Games
3106088001,Toys & Games
3106003001,Electronics
3105000001,Electronics
3104837001,Electronics
3104773001,Grocery & Gourmet Food
3104370001,Toys & Games
3104326001,Toys & Games
3104311001,Apps & Games
3104301001,Apps & Games
3104262001,Home & Kitchen
3104247001,Toys & Games
3104173001,Pet Supplies
3104164001,Toys & Games
3104002001,Toys & Games
3102737001,"Clothing, Shoes & Jewelry"
3102499001,"Clothing, Shoes & Jewelry"
3102383001,Beauty & Personal Care
3102341001,Beauty & Personal Care
3102306001,"Clothing, Shoes & Jewelry"
3102100001,"Clothing, Shoes & Jewelry"
3102020001,Apps & Games
3102019001,Apps & Games
3101908001,Grocery & Gourmet Food
3101908001,Automotive
3101776001,Grocery & Gourmet Food
3101776001,Automotive
3101672001,Health & Household
3101563001,Apps & Games
3101201001,"Clothing, Shoes & Jewelry"
3101122001,Movies & TV
3101122001,Health & Household
3100818001,Home & Kitchen
3100076001,"Clothing, Shoes & Jewelry"
3099930001,Apps & Games
3099299001,Movies & TV
3098903001,"Clothing, Shoes & Jewelry"
3098553001,Electronics
3096209001,Apps & Games
3096058001,"Clothing, Shoes & Jewelry"
3096054001,"Clothing, Shoes & Jewelry"
3095000001,Health & Household
3095000001,Industrial & Scientific
3094902001,Apps & Games
3094900001,Apps & Games
3094897001,Apps & Games
3094758001,Beauty & Personal Care
3094719001,Beauty & Personal Care
3094630001,Video Games
3094206001,Grocery & Gourmet Food
3093956001,Beauty & Personal Care
3093875001,Video Games
3093804001,Toys & Games
3092754001,Toys & Games
3092690001,Toys & Games
3092656001,Toys & Games
3090723001,Apps & Games
3090212001,Apps & Games
3090211001,Apps & Games
3090150001,Apps & Games
3089598001,Apps & Games
3089477001,Movies & TV
3089399001,Toys & Games
3089326001,Home & Kitchen
3089270001,"Clothing, Shoes & Jewelry"
3089127001,Electronics
3088586001,Home & Kitchen
3088586001,Movies & TV
3088586001,"Clothing, Shoes & Jewelry"
3088373001,Apps & Games
3088240001,Health & Household
3088136001,Toys & Games
3088131001,Toys & Games
3088127001,Toys & Games
3088124001,Toys & Games
3088123001,Toys & Games
3088108001,Toys & Games
3088104001,Toys & Games
3084803001,Apps & Games
3084802001,Apps & Games
3084698001,Toys & Games
3083894001,Toys & Games
3083684001,"Clothing, Shoes & Jewelry"
3083299001,Pet Supplies
